"year","district","primary_type","arrests"
2003,2,"OTHER OFFENSE",271
2019,16,"OTHER OFFENSE",56
2015,5,"NARCOTICS",793
2015,9,"SEX OFFENSE",14
2015,9,"WEAPONS VIOLATION",157
2015,16,"ASSAULT",111
2015,9,"BATTERY",576
2015,8,"NARCOTICS",1219
2015,2,"MOTOR VEHICLE THEFT",62
2015,17,"NARCOTICS",303
2015,4,"OTHER OFFENSE",438
2015,16,"CRIMINAL TRESPASS",300
2015,2,"INTERFERENCE WITH PUBLIC OFFICER",19
2015,9,"KIDNAPPING",3
2016,4,"BATTERY",684
2016,5,"DECEPTIVE PRACTICE",13
2016,8,"CRIMINAL TRESPASS",163
2016,2,"OTHER OFFENSE",87
2017,5,"INTERFERENCE WITH PUBLIC OFFICER",104
2017,8,"OTHER OFFENSE",169
2017,4,"NARCOTICS",457
2017,4,"CRIMINAL TRESPASS",180
2018,4,"NARCOTICS",562
2018,16,"BATTERY",312
2018,8,"PUBLIC PEACE VIOLATION",32
2019,5,"OTHER OFFENSE",439
2019,5,"NARCOTICS",414
2019,4,"NARCOTICS",725
2002,5,"OTHER OFFENSE",200
2002,4,"ASSAULT",388
2002,16,"OTHER OFFENSE",251
2002,25,"OTHER OFFENSE",274
2002,8,"SEX OFFENSE",41
2002,25,"NARCOTICS",2597
2002,8,"NARCOTICS",1951
2002,8,"WEAPONS VIOLATION",259
2002,2,"CRIMINAL DAMAGE",222
2002,4,"CRIMINAL TRESPASS",371
2002,2,"CRIMINAL TRESPASS",1315
2002,4,"DECEPTIVE PRACTICE",50
2003,5,"BATTERY",1083
2003,8,"ASSAULT",405
2003,16,"BATTERY",570
2003,22,"WEAPONS VIOLATION",146
2003,22,"DECEPTIVE PRACTICE",63
2003,9,"INTERFERENCE WITH PUBLIC OFFICER",11
2003,5,"PUBLIC PEACE VIOLATION",17
2003,4,"BATTERY",1003
2003,17,"NARCOTICS",777
2003,4,"GAMBLING",50
2003,16,"NARCOTICS",810
2003,4,"WEAPONS VIOLATION",258
2003,9,"OTHER OFFENSE",357
2003,9,"DECEPTIVE PRACTICE",207
2003,16,"ASSAULT",174
2003,5,"ASSAULT",363
2003,4,"NARCOTICS",2078
2004,5,"OTHER OFFENSE",191
2004,9,"OTHER OFFENSE",317
2004,16,"PUBLIC INDECENCY",1
2004,8,"NARCOTICS",2090
2004,4,"NARCOTICS",2749
2004,22,"BATTERY",498
2005,9,"OTHER OFFENSE",295
2005,2,"SEX OFFENSE",21
2005,8,"DECEPTIVE PRACTICE",193
2005,8,"ASSAULT",478
2005,4,"INTERFERENCE WITH PUBLIC OFFICER",23
2005,16,"LIQUOR LAW VIOLATION",36
2005,4,"ASSAULT",412
2005,4,"CRIMINAL DAMAGE",196
2005,25,"MOTOR VEHICLE THEFT",192
2004,4,"MOTOR VEHICLE THEFT",108
2005,8,"NARCOTICS",2332
2005,25,"NARCOTICS",3222
2006,16,"INTIMIDATION",2
2006,8,"DECEPTIVE PRACTICE",170
2006,8,"NARCOTICS",2826
2006,25,"INTERFERENCE WITH PUBLIC OFFICER",116
2006,5,"NARCOTICS",2699
2006,17,"OTHER OFFENSE",141
2006,4,"PUBLIC PEACE VIOLATION",58
2006,22,"LIQUOR LAW VIOLATION",20
2007,16,"OTHER OFFENSE",194
2007,8,"NARCOTICS",2722
2007,16,"ASSAULT",183
2007,9,"MOTOR VEHICLE THEFT",89
2007,16,"CRIMINAL DAMAGE",154
2007,4,"NARCOTICS",2645
2007,16,"NARCOTICS",666
2008,5,"BATTERY",926
2008,17,"BATTERY",689
2008,9,"NARCOTICS",2202
2009,5,"NARCOTICS",1779
2009,8,"ASSAULT",377
2009,4,"ASSAULT",373
2009,8,"CRIMINAL DAMAGE",367
2009,8,"LIQUOR LAW VIOLATION",53
2009,9,"DECEPTIVE PRACTICE",116
2009,5,"OTHER OFFENSE",214
2009,4,"CRIMINAL TRESPASS",308
2009,4,"PUBLIC PEACE VIOLATION",121
2009,9,"CRIMINAL TRESPASS",373
2009,17,"INTERFERENCE WITH PUBLIC OFFICER",7
2009,8,"GAMBLING",47
2010,5,"OTHER OFFENSE",172
2010,9,"OTHER OFFENSE",239
2010,5,"BATTERY",784
2010,4,"ASSAULT",305
2010,9,"NARCOTICS",2303
2010,16,"OTHER OFFENSE",146
2010,8,"ROBBERY",95
2010,17,"OTHER OFFENSE",114
2010,16,"LIQUOR LAW VIOLATION",31
2010,4,"OTHER OFFENSE",118
2011,9,"CRIMINAL DAMAGE",178
2011,4,"CRIM SEXUAL ASSAULT",12
2011,9,"NARCOTICS",2079
2011,9,"BATTERY",786
2011,8,"SEX OFFENSE",38
2011,8,"BATTERY",976
2011,8,"OTHER OFFENSE",221
2011,4,"DECEPTIVE PRACTICE",37
2012,8,"WEAPONS VIOLATION",232
2012,4,"CRIMINAL TRESPASS",245
2012,9,"DECEPTIVE PRACTICE",256
2012,22,"NARCOTICS",926
2012,8,"SEX OFFENSE",29
2012,4,"PUBLIC PEACE VIOLATION",129
2013,4,"NARCOTICS",1536
2013,16,"DECEPTIVE PRACTICE",54
2013,8,"BATTERY",876
2013,4,"ASSAULT",287
2013,25,"OFFENSE INVOLVING CHILDREN",36
2002,17,"NARCOTICS",691
2002,9,"DECEPTIVE PRACTICE",142
2015,2,"NON-CRIMINAL",1
2004,8,"OFFENSE INVOLVING CHILDREN",43
2018,8,"NARCOTICS",529
2017,16,"DECEPTIVE PRACTICE",55
2019,4,"INTERFERENCE WITH PUBLIC OFFICER",189
2019,4,"OTHER OFFENSE",418
2015,5,"BATTERY",639
2015,9,"DECEPTIVE PRACTICE",57
2016,5,"BATTERY",586
2016,4,"NARCOTICS",565
2016,8,"PUBLIC PEACE VIOLATION",65
2016,25,"PUBLIC PEACE VIOLATION",36
2016,4,"ASSAULT",294
2016,4,"INTERFERENCE WITH PUBLIC OFFICER",71
2017,9,"OTHER OFFENSE",228
2017,2,"INTERFERENCE WITH PUBLIC OFFICER",41
2017,4,"ASSAULT",253
2017,4,"INTERFERENCE WITH PUBLIC OFFICER",73
2017,9,"OFFENSE INVOLVING CHILDREN",20
2018,5,"OTHER OFFENSE",481
2018,16,"ASSAULT",106
2018,4,"ASSAULT",249
2019,9,"CRIMINAL DAMAGE",97
2019,22,"OTHER OFFENSE",131
2002,16,"CRIMINAL TRESPASS",368
2002,8,"OTHER OFFENSE",290
2002,16,"THEFT",373
